Elastic_Net,RF_MDA_Top50,RF_SHAP_Top20,XGBoost_Gain_Positive,Boruta,Boruta_RF_SHAP_Top20,Union
SLC35F6,SLC35F6,IFI44,IFI27L2,SLC35F6,IFI44,SLC35F6
YPEL1,REC8,IFITM3,UBE2S,YPEL1,HNRNPDL,YPEL1
IL1B,IFI44,LY6E,EXOSC4,FYN,EXOSC4,IL1B
SH2D1B,RFWD3,SERPING1,MT2A,PLSCR1,PARP9,FYN
STT3B,IFITM3,EPSTI1,EPSTI1,SH2D1B,SERPING1,PLSCR1
FUT4,SASH1,PLEKHA1,PLEKHA1,ANKRD22,EPSTI1,SH2D1B
ZNF264,ZNF91,OASL,ZNF831,EIF2AK2,PLEKHA1,STT3B
TNFSF13B,FCER1A,OAS3,FUT4,ITGAM,IFI44L,ANKRD22
COLQ,EXOSC4,FCGR1BP,BLOC1S1,PLEKHA1,FCGR1BP,EIF2AK2
EGR1,MT2A,IFI6,FCGR1BP,TXK,ATF5,ITGAM
ZNF83,LY6E,GADD45B,BCL11A,SNHG1,GADD45B,PLEKHA1
SAMSN1,TMEM181,HERC5,PIK3C2B,FUT4,HERC5,TXK
SYTL1,SERPING1,USP7,F12,CEACAM1,SOCS1,ZNF831
ABCA1,MED13L,SOCS1,PTMS,FNBP4,BATF2,SNHG1
ATXN7L3B,ABLIM1,SMARCD3,GADD45B,CTDSP2,RBM14,FUT4
NSMCE2,PLEKHA1,GPR84,GZMK,CIRBP,SMARCD3,ZNF264
CD200R1,TLE4,ABCB1,COLQ,EGR1,CD63,CEACAM1
SRSF5,FUT4,MX1,HNRNPH1,ZNF83,GPR84,FNBP4
ATF5,IFIT5,IFI27,BATF2,IFIH1,ABCB1,TNFSF13B
PTGDS,OAF,ISG15,SRSF4,PTGDR,IFI27,CTDSP2
KLRB1,OAS3,,RBM14,RBM14,,COLQ
IFI44,TNFAIP6,,LAMP3,TXNDC17,,EGR1
NSG1,BCL11A,,RNF31,GALT,,ZNF83
IFITM3,PIK3C2B,,SMARCD3,SYTL1,,CIRBP
EXOSC4,ZNFX1,,FCRL2,GPBAR1,,IFIH1
DHDDS,IFI6,,GPR84,IFIT1,,RBM14
CXCR6,DESI1,,ABCB1,ABCB1,,HBQ1
PARP9,TNFAIP3,,CASP8,CD163,,PTGDR
MAD2L1BP,RUBCNL,,MX1,CENPW,,SAMSN1
RETSAT,HNRNPH1,,IFI27,SRSF5,,TXNDC17
OAF,HERC5,,,ATF5,,GALT
FCGR1BP,EGR1,,,ISG15,,SYTL1
IFI6,SOCS1,,,CMPK2,,ABCA1
TNFAIP3,ZNF83,,,ANXA3,,ATXN7L3B
RUBCNL,ITPK1,,,KLRB1,,NSMCE2
GZMK,ASGR1,,,IFI44,,GPBAR1
ZDHHC12,RBM14,,,IFITM3,,IFIT1
USP7,HBQ1,,,KLF12,,ABCB1
LGALS1,IFI35,,,HNRNPDL,,CD163
SLC66A2,SLPI,,,S100A9,,CD200R1
COMMD4,MIAT,,,MT1E,,CENPW
TLR10,LAMP3,,,SQOR,,SRSF5
MATK,RNASE2,,,ZFP90,,ATF5
ATF7IP2,CD63,,,EXOSC4,,PTGDS
LAMP3,FCRL2,,,BST2,,ISG15
RNF181,CD163,,,LY6E,,CMPK2
KLHL22,SIGLEC9,,,XAF1,,ANXA3
TRIP6,IFI27,,,DYRK2,,KLRB1
POLM,PTGDS,,,PARP9,,IFI44
IFIT3,ISG15,,,SAP30,,NSG1
NCL,,,,SERPING1,,IFITM3
EPSTI1,,,,SAMD9L,,KLF12
BLOC1S1,,,,OASL,,HNRNPDL
CYSTM1,,,,IFIT5,,S100A9
STARD8,,,,IFI44L,,FCER1A
BCL11A,,,,FCGR1BP,,MT1E
PBX4,,,,CITED4,,SQOR
PTMS,,,,IFI6,,EXOSC4
HNRNPH1,,,,TNFAIP3,,ZFP90
SRSF4,,,,RUBCNL,,BST2
NFKBIA,,,,BRSK1,,LY6E
ROMO1,,,,GADD45B,,XAF1
SLC22A16,,,,HP,,DHDDS
EIF3D,,,,ZNF548,,TMEM181
RNASE2,,,,ZDHHC12,,CXCR6
RFWD3,,,,USP7,,PARP9
PHPT1,,,,LGALS1,,SERPING1
SNF8,,,,CTNNAL1,,DYRK2
NAA38,,,,SLC66A2,,SAP30
TNFAIP6,,,,JAK1,,SAMD9L
F12,,,,IFIT2,,OASL
PCYOX1,,,,COMMD4,,MAD2L1BP
HERC5,,,,TLR10,,RETSAT
GSTO1,,,,PNISR,,IFIT5
IFI27,,,,GNA15,,OAF
CASP8,,,,LAMP3,,IFI44L
HLA-DRA,,,,LRP3,,FCGR1BP
,,,,PPTC7,,CITED4
,,,,RNF31,,IFI6
,,,,RNF181,,TNFAIP3
,,,,SWAP70,,DESI1
,,,,FCRL2,,RUBCNL
,,,,KLHL22,,BRSK1
,,,,MX1,,GZMK
,,,,DENND2D,,GADD45B
,,,,ASGR1,,HP
,,,,TRIP6,,ZNF548
,,,,ISG20,,ZDHHC12
,,,,CNNM3,,USP7
,,,,IFI27L2,,LGALS1
,,,,UBE2S,,SLC66A2
,,,,REC8,,CTNNAL1
,,,,SCRN1,,JAK1
,,,,IRF7,,IFIT2
,,,,IFIT3,,COMMD4
,,,,MT2A,,TLR10
,,,,GNG5,,SLPI
,,,,EPSTI1,,MATK
,,,,RNF125,,PNISR
,,,,BLOC1S1,,GNA15
,,,,CYSTM1,,ATF7IP2
,,,,OAS1,,LAMP3
,,,,NIBAN3,,LRP3
,,,,OAS3,,RNF31
,,,,SLC7A6,,PPTC7
,,,,STARD8,,RNF181
,,,,SPATS2L,,SWAP70
,,,,BCL11A,,FCRL2
,,,,PIK3C2B,,KLHL22
,,,,IL1RN,,MX1
,,,,PTMS,,SIGLEC9
,,,,CD6,,DENND2D
,,,,HNRNPH1,,ASGR1
,,,,TCN2,,TRIP6
,,,,SRSF4,,ISG20
,,,,NFKBIA,,IFI27L2
,,,,ROMO1,,POLM
,,,,TMED1,,CNNM3
,,,,SLC22A16,,UBE2S
,,,,PTTG1,,REC8
,,,,TFF3,,SCRN1
,,,,SGSM2,,SASH1
,,,,SMARCD3,,IRF7
,,,,RNASE2,,ZNF91
,,,,TRAFD1,,IFIT3
,,,,SAMD9,,NCL
,,,,NPHP3,,MT2A
,,,,SRRM2,,GNG5
,,,,RFWD3,,EPSTI1
,,,,NOP10,,MED13L
,,,,WDR59,,RNF125
,,,,TDRD7,,TLE4
,,,,LGALS3BP,,BLOC1S1
,,,,ZNF329,,CYSTM1
,,,,SNF8,,OAS3
,,,,NAA38,,OAS1
,,,,ABLIM1,,STARD8
,,,,KLRF1,,NIBAN3
,,,,RTP4,,SLC7A6
,,,,LHFPL2,,SPATS2L
,,,,PCED1B-AS1,,BCL11A
,,,,CRY1,,PBX4
,,,,SMIM24,,PIK3C2B
,,,,IL2RB,,PTMS
,,,,TNFAIP6,,IL1RN
,,,,DDIT3,,CD6
,,,,CKAP4,,HNRNPH1
,,,,F12,,TCN2
,,,,FAH,,SRSF4
,,,,RSAD2,,ITPK1
,,,,PCYOX1,,NFKBIA
,,,,TBC1D10C,,ROMO1
,,,,HERC5,,TMED1
,,,,SOCS1,,SLC22A16
,,,,BATF2,,EIF3D
,,,,GSTO1,,PTTG1
,,,,USP18,,TFF3
,,,,HERC6,,SGSM2
,,,,IFI35,,SMARCD3
,,,,SPTLC2,,RNASE2
,,,,CCR1,,TRAFD1
,,,,CD63,,SAMD9
,,,,GPR84,,NPHP3
,,,,GLRX,,SRRM2
,,,,CASP8,,RFWD3
,,,,OGT,,NOP10
,,,,IFI27,,WDR59
,,,,,,TDRD7
,,,,,,LGALS3BP
,,,,,,ZNF329
,,,,,,PHPT1
,,,,,,SNF8
,,,,,,NAA38
,,,,,,ABLIM1
,,,,,,KLRF1
,,,,,,RTP4
,,,,,,LHFPL2
,,,,,,PCED1B-AS1
,,,,,,CRY1
,,,,,,SMIM24
,,,,,,IL2RB
,,,,,,TNFAIP6
,,,,,,DDIT3
,,,,,,ZNFX1
,,,,,,CKAP4
,,,,,,F12
,,,,,,FAH
,,,,,,RSAD2
,,,,,,PCYOX1
,,,,,,TBC1D10C
,,,,,,HERC5
,,,,,,SOCS1
,,,,,,BATF2
,,,,,,GSTO1
,,,,,,USP18
,,,,,,HERC6
,,,,,,IFI35
,,,,,,SPTLC2
,,,,,,MIAT
,,,,,,CCR1
,,,,,,IFI27
,,,,,,CD63
,,,,,,GPR84
,,,,,,GLRX
,,,,,,CASP8
,,,,,,OGT
,,,,,,HLA-DRA
