Gene,Gain
IFI27,23.157489776611328
PLEKHA1,20.24318504333496
GPR84,9.620721817016602
PIK3C2B,6.794432640075684
FCGR1BP,6.763607025146484
BATF2,5.122069835662842
LAMP3,4.3753862380981445
ABCB1,4.027012825012207
RBM14,3.0612633228302
SMARCD3,2.8159000873565674
GADD45B,2.093498706817627
EPSTI1,2.0921380519866943
BLOC1S1,1.4690073728561401
BCL11A,1.1424891948699951
CASP8,1.0933706760406494
SRSF4,1.0723713636398315
FCRL2,0.9697889089584351
F12,0.9462783932685852
MT2A,0.6813068389892578
FUT4,0.6117110848426819
RNF31,0.5566243529319763
IFI27L2,0.497031033039093
HNRNPH1,0.4452115595340729
MX1,0.37311553955078125
EXOSC4,0.23807168006896973
UBE2S,0.23471394181251526
ZNF831,0.2254900336265564
PTMS,0.0852193832397461
GZMK,0.0682452917098999
COLQ,0.04486989974975586
